iter	Passed	Remaining
0	2	244
1	4	242
2	7	233
3	9	221
4	11	222
5	14	221
6	16	223
7	19	220
8	22	224
9	24	222
10	27	221
11	29	218
12	32	217
13	34	213
14	37	211
15	39	209
16	42	207
17	44	204
18	47	202
19	50	202
20	53	199
21	55	197
22	58	194
23	61	193
24	63	190
25	66	188
26	68	185
27	70	181
28	72	178
29	75	175
30	77	172
31	80	170
32	82	167
33	85	166
34	88	163
35	91	162
36	94	160
37	96	157
38	98	154
39	101	151
40	103	149
41	104	144
42	107	141
43	110	140
44	112	137
45	115	135
46	118	133
47	120	130
48	123	128
49	125	125
50	128	123
51	130	120
52	132	117
53	135	115
54	136	111
55	139	109
56	141	107
57	144	104
58	146	101
59	148	99
60	151	97
61	154	94
62	156	91
63	158	89
64	161	86
65	163	84
66	165	81
67	168	79
68	171	76
69	174	74
70	177	72
71	179	69
72	182	67
73	184	64
74	187	62
75	189	59
76	191	57
77	194	54
78	196	52
79	199	49
80	201	47
81	203	44
82	206	42
83	208	39
84	211	37
85	213	34
86	215	32
87	218	29
88	220	27
89	223	24
90	226	22
91	228	19
92	231	17
93	233	14
94	235	12
95	238	9
96	240	7
97	243	4
98	245	2
99	248	0
